Name,Count,Rank,Percent,Overall_Rank,Total_Count
STEVENSON,77097,345,0.031,345,77097
BURGESS,77097,346,0.031,346,77097
SANTOS,77097,347,0.031,347,77097
TATE,77097,348,0.031,348,77097
CROSS,77097,349,0.031,349,77097
GARNER,77097,350,0.031,350,77097
MANN,77097,351,0.031,351,77097
MACK,77097,352,0.031,352,77097
MOSS,77097,353,0.031,353,77097
THORNTON,77097,354,0.031,354,77097
DENNIS,77097,355,0.031,355,77097
MCGEE,77097,356,0.031,356,77097
FARMER,74610,357,0.03,357,74610
DELGADO,74610,358,0.03,358,74610
AGUILAR,74610,359,0.03,359,74610
VEGA,74610,360,0.03,360,74610
GLOVER,74610,361,0.03,361,74610
MANNING,74610,362,0.03,362,74610
COHEN,74610,363,0.03,363,74610
HARMON,74610,364,0.03,364,74610
RODGERS,74610,365,0.03,365,74610
ROBBINS,74610,366,0.03,366,74610
NEWTON,74610,367,0.03,367,74610
TODD,74610,368,0.03,368,74610
BLAIR,74610,369,0.03,369,74610
HIGGINS,74610,370,0.03,370,74610
INGRAM,74610,371,0.03,371,74610
REESE,74610,372,0.03,372,74610
CANNON,74610,373,0.03,373,74610
STRICKLAND,74610,374,0.03,374,74610
TOWNSEND,74610,375,0.03,375,74610
POTTER,74610,376,0.03,376,74610
GOODWIN,74610,377,0.03,377,74610
WALTON,74610,378,0.03,378,74610
ROWE,72123,379,0.029,379,72123
HAMPTON,72123,380,0.029,380,72123
ORTEGA,72123,381,0.029,381,72123
PATTON,72123,382,0.029,382,72123
SWANSON,72123,383,0.029,383,72123
JOSEPH,72123,384,0.029,384,72123
FRANCIS,72123,385,0.029,385,72123
GOODMAN,72123,386,0.029,386,72123
MALDONADO,72123,387,0.029,387,72123
YATES,72123,388,0.029,388,72123
BECKER,72123,389,0.029,389,72123
ERICKSON,72123,390,0.029,390,72123
HODGES,72123,391,0.029,391,72123
RIOS,72123,392,0.029,392,72123
CONNER,72123,393,0.029,393,72123
ADKINS,72123,394,0.029,394,72123
WEBSTER,69636,395,0.028,395,69636
NORMAN,69636,396,0.028,396,69636
MALONE,69636,397,0.028,397,69636
HAMMOND,69636,398,0.028,398,69636
FLOWERS,69636,399,0.028,399,69636
COBB,69636,400,0.028,400,69636
MOODY,69636,401,0.028,401,69636
QUINN,69636,402,0.028,402,69636
BLAKE,69636,403,0.028,403,69636
MAXWELL,69636,404,0.028,404,69636
POPE,69636,405,0.028,405,69636
FLOYD,67149,406,0.027,406,67149
OSBORNE,67149,407,0.027,407,67149
PAUL,67149,408,0.027,408,67149
MCCARTHY,67149,409,0.027,409,67149
GUERRERO,67149,410,0.027,410,67149
LINDSEY,67149,411,0.027,411,67149
ESTRADA,67149,412,0.027,412,67149
SANDOVAL,67149,413,0.027,413,67149
GIBBS,67149,414,0.027,414,67149
TYLER,67149,415,0.027,415,67149
GROSS,67149,416,0.027,416,67149
FITZGERALD,67149,417,0.027,417,67149
STOKES,67149,418,0.027,418,67149
DOYLE,67149,419,0.027,419,67149
SHERMAN,67149,420,0.027,420,67149
SAUNDERS,67149,421,0.027,421,67149
WISE,67149,422,0.027,422,67149
COLON,67149,423,0.027,423,67149
GILL,67149,424,0.027,424,67149
ALVARADO,67149,425,0.027,425,67149
GREER,64662,426,0.026,426,64662
PADILLA,64662,427,0.026,427,64662
SIMON,64662,428,0.026,428,64662
WATERS,64662,429,0.026,429,64662
NUNEZ,64662,430,0.026,430,64662
BALLARD,64662,431,0.026,431,64662
SCHWARTZ,64662,432,0.026,432,64662
MCBRIDE,64662,433,0.026,433,64662
HOUSTON,64662,434,0.026,434,64662
CHRISTENSEN,64662,435,0.026,435,64662
KLEIN,64662,436,0.026,436,64662
PRATT,64662,437,0.026,437,64662
BRIGGS,64662,438,0.026,438,64662
PARSONS,64662,439,0.026,439,64662
MCLAUGHLIN,64662,440,0.026,440,64662
ZIMMERMAN,64662,441,0.026,441,64662
FRENCH,64662,442,0.026,442,64662
BUCHANAN,64662,443,0.026,443,64662
MORAN,64662,444,0.026,444,64662
COPELAND,62175,445,0.025,445,62175
ROY,62175,446,0.025,446,62175
PITTMAN,62175,447,0.025,447,62175
BRADY,62175,448,0.025,448,62175
MCCORMICK,62175,449,0.025,449,62175
HOLLOWAY,62175,450,0.025,450,62175
BROCK,62175,451,0.025,451,62175
POOLE,62175,452,0.025,452,62175
FRANK,62175,453,0.025,453,62175
LOGAN,62175,454,0.025,454,62175
OWEN,62175,455,0.025,455,62175
BASS,62175,456,0.025,456,62175
MARSH,62175,457,0.025,457,62175
DRAKE,62175,458,0.025,458,62175
WONG,62175,459,0.025,459,62175
JEFFERSON,62175,460,0.025,460,62175
PARK,62175,461,0.025,461,62175
MORTON,62175,462,0.025,462,62175
ABBOTT,62175,463,0.025,463,62175
SPARKS,62175,464,0.025,464,62175
PATRICK,59688,465,0.024,465,59688
NORTON,59688,466,0.024,466,59688
HUFF,59688,467,0.024,467,59688
CLAYTON,59688,468,0.024,468,59688
MASSEY,59688,469,0.024,469,59688
LLOYD,59688,470,0.024,470,59688
FIGUEROA,59688,471,0.024,471,59688
CARSON,59688,472,0.024,472,59688
BOWERS,59688,473,0.024,473,59688
ROBERSON,59688,474,0.024,474,59688
BARTON,59688,475,0.024,475,59688
TRAN,59688,476,0.024,476,59688
LAMB,59688,477,0.024,477,59688
HARRINGTON,59688,478,0.024,478,59688
CASEY,59688,479,0.024,479,59688
BOONE,59688,480,0.024,480,59688
CORTEZ,59688,481,0.024,481,59688
CLARKE,59688,482,0.024,482,59688
MATHIS,59688,483,0.024,483,59688
SINGLETON,59688,484,0.024,484,59688
WILKINS,59688,485,0.024,485,59688
CAIN,59688,486,0.024,486,59688
BRYAN,59688,487,0.024,487,59688
UNDERWOOD,59688,488,0.024,488,59688
HOGAN,59688,489,0.024,489,59688
MCKENZIE,57201,490,0.023,490,57201
COLLIER,57201,491,0.023,491,57201
LUNA,57201,492,0.023,492,57201
PHELPS,57201,493,0.023,493,57201
MCGUIRE,57201,494,0.023,494,57201
ALLISON,57201,495,0.023,495,57201
BRIDGES,57201,496,0.023,496,57201
WILKERSON,57201,497,0.023,497,57201
NASH,57201,498,0.023,498,57201
SUMMERS,57201,499,0.023,499,57201
ATKINS,57201,500,0.023,500,57201
WILCOX,57201,501,0.023,501,57201
PITTS,57201,502,0.023,502,57201
CONLEY,57201,503,0.023,503,57201
MARQUEZ,57201,504,0.023,504,57201
BURNETT,57201,505,0.023,505,57201
RICHARD,57201,506,0.023,506,57201
COCHRAN,57201,507,0.023,507,57201
CHASE,57201,508,0.023,508,57201
DAVENPORT,57201,509,0.023,509,57201
HOOD,57201,510,0.023,510,57201
GATES,57201,511,0.023,511,57201
CLAY,57201,512,0.023,512,57201
AYALA,57201,513,0.023,513,57201
SAWYER,57201,514,0.023,514,57201
ROMAN,57201,515,0.023,515,57201
VAZQUEZ,57201,516,0.023,516,57201
DICKERSON,57201,517,0.023,517,57201
HODGE,54714,518,0.022,518,54714
ACOSTA,54714,519,0.022,519,54714
FLYNN,54714,520,0.022,520,54714
ESPINOZA,54714,521,0.022,521,54714
NICHOLSON,54714,522,0.022,522,54714
MONROE,54714,523,0.022,523,54714
WOLF,54714,524,0.022,524,54714
MORROW,54714,525,0.022,525,54714
KIRK,54714,526,0.022,526,54714
RANDALL,54714,527,0.022,527,54714
ANTHONY,54714,528,0.022,528,54714
WHITAKER,54714,529,0.022,529,54714
OCONNOR,54714,530,0.022,530,54714
SKINNER,54714,531,0.022,531,54714
WARE,54714,532,0.022,532,54714
MOLINA,54714,533,0.022,533,54714
KIRBY,54714,534,0.022,534,54714
HUFFMAN,54714,535,0.022,535,54714
BRADFORD,54714,536,0.022,536,54714
CHARLES,54714,537,0.022,537,54714
GILMORE,54714,538,0.022,538,54714
DOMINGUEZ,54714,539,0.022,539,54714
ONEAL,54714,540,0.022,540,54714
