Name,Count,Rank,Percent,Overall_Rank,Total_Count
ZIMMERMANN,6442,3635,95.6,4784,6740
SCHUMANN,6440,3637,95.7,4798,6728
BRANNAN,6439,3638,94.4,4754,6820
SORRELL,6437,3639,78.8,3990,8170
SCHNELL,6430,3640,96.7,4844,6647
BOETTCHER,6430,3640,96.7,4845,6646
THORSON,6429,3642,96.8,4847,6643
WASSERMAN,6429,3642,96.9,4853,6638
DOE,6421,3644,55.3,2834,11603
RAGLAND,6420,3645,52.8,2719,12159
KAUFMANN,6418,3646,96.3,4834,6664
NOVOTNY,6414,3647,97.3,4895,6591
SIEBERT,6413,3648,95.2,4791,6734
EMBRY,6410,3649,76.5,3894,8379
VACCARO,6410,3649,96.1,4828,6672
BORDERS,6409,3651,74.4,3775,8618
BOWLIN,6409,3651,93.3,4720,6871
SIPES,6408,3653,95.1,4784,6740
MERKEL,6407,3654,97.4,4909,6577
WOOLSEY,6405,3655,94.1,4763,6805
VINES,6403,3656,65.2,3339,9823
JUDY,6403,3656,95.1,4789,6736
SNOOK,6402,3658,96.4,4849,6641
JESTER,6400,3659,86.4,4429,7407
NUTT,6400,3659,90.2,4582,7098
FLANIGAN,6398,3661,89.2,4540,7175
MULDER,6397,3662,93.9,4760,6809
TRAINOR,6389,3663,95.1,4804,6719
FELLER,6389,3663,96.1,4842,6650
CONAWAY,6388,3665,81.1,4171,7878
GREATHOUSE,6386,3666,82.5,4239,7740
AMUNDSON,6384,3667,96.9,4896,6589
CONGER,6383,3668,94.9,4800,6725
BEESON,6382,3669,94.7,4788,6738
BISCHOFF,6381,3670,95.8,4835,6663
HAIGHT,6380,3671,94.7,4786,6739
CALLOWAY,6378,3672,40.4,2109,15784
MCCORKLE,6378,3672,77.7,3977,8207
WILHITE,6377,3674,81.8,4213,7797
GIESE,6377,3674,97,4910,6574
WALLIN,6376,3676,95.5,4823,6677
ENRIGHT,6375,3677,95.1,4813,6702
HARLEY,6369,3678,55.8,2886,11409
METZLER,6367,3679,96.3,4876,6612
JAMIESON,6366,3680,88.9,4546,7164
DELGADO,6365,3681,6.5,282,98675
ENOS,6364,3682,79.8,4114,7978
PEARL,6364,3682,85.6,4409,7435
BEARDSLEY,6363,3684,95.1,4818,6689
HALSEY,6360,3685,85.7,4422,7420
WHITEMAN,6353,3686,85.9,4432,7395
BOLT,6352,3687,91.3,4664,6956
HASS,6352,3687,95.2,4828,6672
WALTZ,6352,3687,96.2,4884,6602
RAWLS,6350,3690,56.4,2933,11265
DREYER,6348,3691,96.8,4922,6559
LOPER,6345,3692,82.5,4261,7695
ROEDER,6345,3692,96.7,4919,6561
KEIM,6345,3692,96.7,4919,6561
NETTLES,6344,3695,59.2,3104,10711
APPLE,6344,3695,92,4698,6898
ASKEW,6343,3697,48.4,2530,13095
BICE,6342,3698,94.2,4795,6731
HETRICK,6342,3698,96.9,4933,6548
TROY,6339,3700,79.8,4125,7940
LAPLANTE,6338,3701,90.9,4650,6971
SOTO,6334,3702,5.9,257,106631
DURANT,6334,3702,54.1,2811,11699
AUTRY,6334,3702,76.1,3922,8321
GUARINO,6334,3702,95.5,4857,6632
SOUTHERLAND,6333,3706,77.9,4009,8132
TEEL,6332,3707,83.1,4309,7618
JEFFERY,6331,3708,70,3611,9048
MOLL,6331,3708,92.5,4739,6844
FARKAS,6329,3710,95.7,4874,6613
FRANKEL,6326,3711,95.4,4855,6633
HUNTINGTON,6325,3712,90.5,4637,6991
JASPER,6319,3713,69.2,3576,9125
WEILER,6319,3713,96.5,4928,6551
VOLLMER,6319,3713,96.5,4931,6549
JUSTUS,6312,3716,94.9,4843,6649
SHIRK,6310,3717,97.3,4969,6487
LAPORTE,6309,3718,87.9,4538,7176
UNDERHILL,6308,3719,93.5,4781,6747
BARE,6307,3720,93.8,4801,6724
HEMBREE,6302,3721,95.4,4880,6603
PYLES,6293,3722,84.6,4409,7435
MCCREARY,6291,3723,77.6,4021,8105
JOSLIN,6290,3724,92.5,4765,6803
LOHR,6290,3724,96.7,4962,6506
BORDELON,6289,3726,95.1,4873,6616
WORTH,6288,3727,89.6,4618,7018
PENROD,6288,3727,95.5,4901,6584
HARLESS,6287,3729,95.5,4908,6580
HOWES,6286,3730,94.5,4840,6652
SASSER,6285,3731,89.4,4613,7029
GROTH,6283,3732,96.5,4960,6508
STARKS,6280,3733,33.2,1736,18911
LIMA,6279,3734,46.4,2449,13539
BREMER,6279,3734,95.4,4906,6581
LISTER,6277,3736,79.5,4158,7891
SOUTHERN,6275,3737,83.7,4381,7494
KIDDER,6273,3738,95.2,4896,6589
LAVIGNE,6272,3739,91.1,4708,6881
MASHBURN,6272,3739,94,4825,6675
BURCHFIELD,6271,3741,94.6,4863,6628
CUSHING,6270,3742,96.5,4965,6498
MUSICK,6268,3743,95.7,4931,6549
MCEWEN,6267,3744,84.5,4422,7420
MARLER,6265,3745,95.2,4901,6584
BEAR,6264,3746,81.6,4278,7672
FURLONG,6263,3747,95.5,4924,6558
MCKEEVER,6262,3748,84.2,4412,7433
GANT,6261,3749,47.2,2490,13268
RIGGINS,6261,3749,55,2892,11385
FRAZER,6260,3751,82.9,4351,7547
CHRISMAN,6260,3751,94.7,4874,6613
LOWELL,6259,3753,93.9,4832,6665
EPPS,6254,3754,33.3,1747,18780
TROMBLEY,6252,3755,94.8,4889,6597
HEFFERNAN,6248,3756,95.7,4940,6532
BURROW,6245,3757,85.3,4460,7321
GOTTLIEB,6244,3758,95.9,4955,6511
CORDER,6243,3759,90.3,4686,6912
