Name,Count,Rank,Percent,Overall_Rank,Total_Count
MCFARLANE,2653,1457,32.5,3995,8160
BOSTICK,2649,1458,34.8,4314,7614
BAINES,2646,1459,46.4,5586,5702
CLEMMONS,2644,1460,35.2,4370,7515
GADDY,2634,1461,33.2,4138,7926
PHIPPS,2631,1462,11.5,1429,22919
TRAMMELL,2630,1463,21.7,2739,12098
DORTCH,2627,1464,60.1,7061,4368
ZEIGLER,2621,1465,20.8,2631,12626
AGEE,2618,1466,24.7,3126,10595
GODWIN,2614,1467,11.8,1480,22062
ASH,2614,1467,12.8,1609,20500
MURDOCK,2612,1469,13.7,1724,19041
GRIGSBY,2611,1470,23.7,3017,11017
BUGGS,2611,1470,85.9,9822,3038
JOLLY,2609,1472,17.2,2198,15166
BECKFORD,2609,1472,77.4,8925,3371
HANSON,2607,1474,2.4,251,109079
BLANTON,2606,1475,11,1375,23665
BENFORD,2604,1476,69.2,8122,3761
PERRYMAN,2603,1477,29,3638,8974
DEBERRY,2602,1478,48,5845,5424
HASSAN,2600,1479,21.7,2762,11993
MINCEY,2599,1480,49.7,6045,5233
CRUTCHFIELD,2593,1481,29.5,3703,8799
KINSEY,2591,1482,16.9,2169,15357
LETT,2585,1483,43.1,5351,5994
MCAFEE,2575,1484,21.7,2789,11855
SPEIGHT,2575,1484,49.2,6040,5237
KENDALL,2566,1486,8.7,1082,29524
BODDIE,2563,1487,74.1,8748,3458
DANTZLER,2561,1488,70.4,8357,3640
GAUSE,2558,1489,48.9,6042,5235
MEYERS,2548,1490,4.5,528,56744
WHITING,2548,1490,16.2,2116,15719
BEAVERS,2547,1492,16.6,2175,15316
CALLAHAN,2546,1493,5.1,617,49925
RHONE,2545,1494,60.3,7276,4224
PETTIFORD,2543,1495,85.2,9973,2985
JOYCE,2542,1496,7.5,948,33843
ABNEY,2541,1497,26.1,3355,9743
MAJORS,2539,1498,26.8,3448,9480
EMERSON,2534,1499,8.4,1066,30028
FLOURNOY,2531,1500,49.6,6180,5104
JILES,2525,1501,61.8,7515,4086
WHITLOCK,2524,1502,15.2,2003,16603
LEAK,2524,1502,60.6,7376,4165
GOULD,2523,1504,6.7,836,37660
SILAS,2516,1505,60.6,7399,4153
COMPTON,2512,1506,7.2,910,34788
SNIPES,2511,1507,31.5,4107,7984
NEWBY,2507,1508,22.6,2994,11079
MILLIGAN,2506,1509,11.4,1497,21887
GETER,2506,1509,78.3,9346,3200
JAMERSON,2505,1511,52.4,6538,4782
GOLDSMITH,2502,1512,15.4,2046,16238
GRICE,2502,1512,29.5,3846,8483
PURVIS,2498,1514,15.2,2028,16381
WHITTINGTON,2496,1515,14.5,1924,17163
TILLERY,2496,1515,32.6,4285,7666
KILGORE,2492,1517,11.7,1548,21264
LEMONS,2489,1518,20.7,2756,12013
SMOOT,2489,1518,27.8,3646,8955
CHISM,2488,1520,31,4082,8030
BUSBY,2485,1521,16.1,2161,15424
LIGHTFOOT,2482,1522,30.3,3982,8190
BASKERVILLE,2472,1523,72.2,8808,3424
MCGRUDER,2470,1524,76.9,9314,3213
MEREDITH,2463,1525,10.3,1358,23937
MCCAULEY,2462,1526,10.3,1360,23926
WHATLEY,2462,1526,22.3,3008,11039
CADET,2460,1528,82.6,9988,2979
ODEN,2459,1529,31.6,4218,7786
SPEED,2457,1530,34.7,4589,7082
SEYMOUR,2452,1531,10,1327,24427
AGNEW,2452,1531,25.4,3398,9644
LAND,2451,1533,11.8,1594,20687
VEREEN,2449,1534,73.9,9064,3316
DALLAS,2446,1535,27.8,3698,8811
BOYER,2445,1536,4.9,622,49601
EUGENE,2445,1536,77.4,9436,3160
BLACKSHEAR,2441,1538,67.2,8370,3633
GILLIARD,2441,1538,70.5,8741,3461
COKER,2438,1540,10.8,1447,22636
AUGUSTINE,2437,1541,18.6,2534,13093
LANDRUM,2437,1541,20.6,2790,11851
BRATHWAITE,2433,1543,86.5,10473,2812
SPIKES,2429,1544,55.6,7063,4367
MANNS,2428,1545,41,5414,5921
BUIE,2428,1545,43.7,5721,5556
BASKIN,2426,1547,37.1,4937,6537
PITT,2424,1548,28,3755,8666
BETHEL,2423,1549,33.3,4483,7285
BARTLEY,2420,1550,15,2055,16154
JEFFERS,2418,1551,14.3,1954,16895
PRATER,2417,1552,13,1769,18565
COURTNEY,2411,1553,9,1202,26668
BUSSEY,2409,1554,34.1,4595,7063
DIALLO,2409,1554,90.5,10975,2661
ESTES,2408,1556,6.7,880,35839
HAILEY,2407,1557,34.3,4627,7008
LUKE,2406,1558,14.1,1940,17016
STITH,2406,1558,47.8,6250,5033
ROWLAND,2405,1560,7,925,34498
FORT,2405,1560,30.4,4151,7900
HIGGS,2404,1562,24,3275,10026
HOLLY,2404,1562,27.1,3680,8856
STARLING,2400,1564,25.7,3502,9337
RANKINS,2398,1565,69.5,8762,3450
JASPER,2397,1566,26.3,3576,9125
MALCOLM,2393,1567,24.8,3399,9643
VARNER,2391,1568,13.8,1910,17274
HAMLIN,2388,1569,14.6,2031,16358
SHELL,2388,1569,18.2,2523,13143
MAHONE,2388,1569,68.2,8647,3499
HINSON,2387,1572,12.4,1706,19293
FRASIER,2387,1572,30.2,4149,7903
ARMOUR,2386,1574,30.9,4250,7711
HICKSON,2385,1575,44.6,5929,5345
MCMULLEN,2384,1576,11.9,1642,19998
PARNELL,2383,1577,16.9,2358,14069
BEDFORD,2381,1578,27.5,3764,8651
BRENT,2381,1578,32,4408,7436
THAMES,2381,1578,33.8,4604,7052
DOVE,2380,1581,16.9,2351,14106
SUTHERLAND,2379,1582,8.4,1128,28417
JEMISON,2379,1582,65.9,8414,3608
CROWELL,2378,1584,13.9,1931,17136
KYLE,2377,1585,13.4,1861,17750
YANCY,2376,1586,53.6,6977,4429
MCCORD,2372,1587,13.8,1918,17216
MCGRAW,2371,1588,11.5,1592,20704
CORNISH,2368,1589,30,4160,7887
MAYNARD,2367,1590,6.6,884,35648
BENDER,2366,1591,6.2,821,38464
HAMM,2362,1592,8.9,1216,26392
LOYD,2358,1593,17.6,2464,13422
SHIRLEY,2356,1594,8.6,1176,27300
SILVER,2356,1594,10.7,1489,21956
ABRAM,2355,1596,45.9,6140,5136
ABBOTT,2354,1597,4.6,588,51620
PEEPLES,2353,1598,33.8,4657,6961
FLOOD,2348,1599,14.1,1998,16652
PEREZ,2345,1600,0.5,29,488521
DOWDY,2345,1600,17.7,2494,13249
MCDANIELS,2337,1602,33.8,4692,6907
MULLEN,2336,1603,6.4,867,36442
DINGLE,2335,1604,60.1,7899,3887
PANNELL,2333,1605,28.8,4022,8103
GAVIN,2331,1606,17.2,2453,13515
CARSWELL,2331,1606,38.6,5308,6039
SANDS,2330,1608,12.6,1787,18430
WARFIELD,2330,1608,31.9,4470,7301
TIBBS,2328,1610,33.7,4690,6908
COSTON,2320,1611,48.8,6580,4750
TOMPKINS,2319,1612,9.9,1385,23468
JACQUES,2319,1612,17.9,2572,12942
SESSION,2318,1614,87.3,10996,2654
FOWLKES,2312,1615,53.2,7098,4343
CLOUD,2310,1616,16.5,2377,13985
MCCASKILL,2309,1617,42.2,5792,5466
KAMARA,2307,1618,87.8,11095,2627
GOFF,2306,1619,7.3,1001,31806
CHANCE,2306,1619,17,2441,13586
GERALD,2305,1621,46.2,6281,4994
BUCK,2300,1622,5.4,737,42441
HANNA,2300,1622,6.5,887,35599
CLEMENT,2300,1622,9.9,1398,23233
HARRY,2300,1622,26.1,3703,8799
BILLINGS,2298,1626,10.6,1509,21764
HANEY,2295,1627,7,976,32644
BATTLES,2295,1627,31.6,4500,7260
BARBEE,2294,1629,21.8,3149,10501
PETTIGREW,2293,1630,30.6,4379,7500
PETTAWAY,2291,1631,91.6,11536,2500
DESIR,2290,1632,82.1,10557,2788
BAUGH,2289,1633,18.8,2721,12152
GAINEY,2288,1634,28.3,4025,8099
GLADDEN,2283,1635,33,4688,6909
KINNEY,2281,1636,7.4,1032,30956
CRUTCHER,2280,1637,38.8,5449,5872
ROZIER,2275,1638,54.7,7388,4159
SPICER,2272,1639,12.7,1846,17901
MANGUM,2267,1640,24.5,3521,9271
MATLOCK,2266,1641,18.9,2754,12017
EADDY,2266,1641,72.4,9526,3130
PRESCOTT,2261,1643,13.6,1995,16686
MIDDLEBROOKS,2261,1643,53.1,7228,4257
RICKETTS,2259,1645,18.9,2777,11940
COFFEY,2258,1646,6.4,894,35442
CAUSEY,2258,1646,20.4,2998,11061
WEATHERSBY,2257,1648,63.8,8567,3539
JEFFERY,2255,1649,24.9,3611,9048
MCCARTHY,2253,1650,2.8,348,81035
MULDROW,2252,1651,84.9,11003,2651
SWEENEY,2251,1652,4.4,591,51500
TYUS,2251,1652,76.6,10103,2939
SINGH,2245,1654,3.1,396,72642
PARSONS,2244,1655,3.4,453,66203
BELLE,2242,1656,59.9,8155,3742
GROVES,2239,1657,9.2,1336,24260
BOATWRIGHT,2234,1658,31.6,4595,7063
DURDEN,2229,1659,34.9,5039,6389
PERDUE,2228,1660,14,2085,15958
MCCONNELL,2223,1661,5.7,800,39203
SWEET,2223,1661,7.7,1111,28872
STALEY,2219,1663,12.3,1824,18081
SALES,2217,1664,25.4,3733,8725
WHARTON,2215,1665,19.5,2910,11354
BIVINS,2215,1665,41,5875,5396
BRANNON,2213,1667,14.1,2127,15640
GONZALEZ,2212,1668,0.4,23,597718
FARRELL,2212,1668,4.3,599,51095
ASHBY,2212,1668,13.2,1985,16723
WITHERS,2208,1671,20.5,3083,10782
PEEBLES,2207,1672,25.8,3811,8540
STROMAN,2207,1672,58.5,8097,3772
SANCHEZ,2206,1674,0.5,33,441242
MCLENDON,2204,1675,27.3,4039,8079
SHAVERS,2204,1675,71.8,9716,3068
RAMEY,2203,1677,10.2,1526,21618
LINCOLN,2200,1678,13.7,2068,16070
HUGHLEY,2200,1678,85.8,11302,2565
WORTHAM,2198,1680,40.8,5882,5387
LARKINS,2196,1681,36.5,5329,6017
HARDEMAN,2191,1682,51.3,7208,4272
JETT,2190,1683,19.4,2930,11275
JEANPIERRE,2189,1684,84.7,11242,2584
AIKENS,2186,1685,49.4,6989,4421
KEATON,2185,1686,26.2,3918,8333
STARR,2183,1687,7.7,1135,28210
PEACOCK,2180,1688,10.3,1564,21106
EALY,2175,1689,50.6,7163,4296
CURETON,2175,1689,50.8,7190,4281
NEALY,2174,1691,56.4,7959,3856
GADSDEN,2174,1691,90,11869,2415
DUCKETT,2173,1693,33.3,4944,6524
GATLING,2172,1694,80.4,10837,2700
WORRELL,2171,1695,20.8,3155,10460
MAYE,2170,1696,54.1,7642,4012
TRIPP,2166,1697,10.9,1653,19886
KIRKWOOD,2166,1697,27.2,4115,7977
LIGON,2164,1699,36.8,5446,5879
COUSINS,2163,1700,24.9,3748,8691
TIDWELL,2159,1701,10.4,1595,20681
DENTON,2158,1702,8,1187,27112
MITCHEL,2155,1703,35,5209,6161
HUTCHERSON,2153,1704,34,5083,6336
WELLINGTON,2152,1705,34.4,5146,6257
LITTLES,2152,1705,76.6,10483,2810
JOE,2151,1707,25.7,3891,8382
ROWELL,2149,1708,13.9,2154,15457
FORDE,2149,1708,48,6905,4480
JACOB,2146,1710,10,1541,21354
WITCHER,2146,1710,43.2,6312,4969
LATIMER,2143,1712,22.1,3369,9705
ELEY,2141,1713,45.8,6664,4675
NORFLEET,2140,1714,54.5,7817,3924
TRIMBLE,2139,1715,13.7,2138,15576
GOMEZ,2135,1716,0.8,68,263590
CULPEPPER,2135,1716,21.2,3260,10061
SALLEY,2135,1716,39.7,5895,5376
FLEMMING,2134,1719,36,5414,5921
MATTOX,2132,1720,21.6,3318,9881
FORTSON,2130,1721,52.2,7522,4079
WOFFORD,2129,1722,25.1,3843,8491
QUALLS,2123,1723,18.9,2948,11222
HYDE,2120,1724,7.4,1121,28604
DAYE,2119,1725,61.3,8754,3457
PORTIS,2116,1726,73.9,10312,2863
SPAIN,2112,1727,18.8,2943,11232
GOOCH,2111,1728,19,2984,11107
DUNSTON,2111,1728,61.8,8830,3415
DOBBS,2110,1730,11.7,1829,18021
TOMLIN,2110,1730,18.5,2888,11397
KITCHEN,2107,1732,14.6,2298,14478
SETTLES,2105,1733,37.1,5603,5678
LANDERS,2104,1734,11.5,1802,18308
MCARTHUR,2104,1734,17.3,2721,12152
JEFFERIES,2104,1734,42.3,6306,4973
CHRISTMAS,2102,1737,40.4,6082,5204
WORD,2100,1738,35.4,5410,5926
MCCALLUM,2099,1739,21.2,3316,9897
STEPHEN,2098,1740,23.5,3655,8934
VENABLE,2094,1741,20.6,3234,10150
AVANT,2093,1742,41.5,6243,5040
THIBODEAUX,2092,1743,15.8,2508,13199
CHEEK,2091,1744,13.4,2140,15566
SHIPMAN,2087,1745,14,2235,14917
PINKSTON,2084,1746,26.5,4174,7871
FARR,2082,1747,10.8,1709,19242
CATHEY,2082,1747,24.4,3815,8538
BREAUX,2080,1749,17.3,2749,12046
THURMOND,2080,1749,36.2,5550,5752
MCCARTY,2079,1751,5.8,881,35718
ROSSER,2079,1751,27.3,4325,7604
GERMAN,2075,1753,14,2260,14769
STROTHER,2075,1753,29.6,4634,7001
TABB,2073,1755,49.2,7292,4215
MCIVER,2072,1756,38.9,5952,5326
WHITTED,2070,1757,51.7,7656,4007
SIMONS,2069,1758,8.2,1281,25266
MARCUS,2068,1759,11.9,1900,17360
GLASPER,2064,1760,90.8,12499,2274
BORDEN,2063,1761,13.4,2171,15342
MALLARD,2062,1762,36.8,5682,5602
LEARY,2060,1763,13.6,2203,15127
PENNY,2058,1764,21.4,3410,9615
SARGENT,2057,1765,7.6,1190,27024
DURR,2056,1766,31.2,4891,6594
BANKSTON,2051,1767,30.4,4789,6736
NARCISSE,2049,1768,91.1,12624,2250
HILLMAN,2048,1769,13.3,2156,15448
DUNHAM,2047,1770,9.4,1506,21772
MCCLARY,2047,1770,36.4,5659,5622
RADFORD,2046,1772,16.2,2636,12607
EASTERLING,2046,1772,26.4,4227,7761
MERCHANT,2044,1774,15.2,2465,13421
RUMPH,2044,1774,62.8,9213,3256
TOMLINSON,2042,1776,8.5,1345,24110
GOVAN,2041,1777,71.7,10375,2846
SNYDER,2040,1778,1.3,144,159363
CALLAWAY,2040,1778,15.3,2481,13354
WHYTE,2039,1780,32.4,5112,6298
WASH,2039,1780,39.8,6157,5126
PEACE,2032,1782,23.6,3781,8601
SHINE,2032,1782,33.4,5263,6083
HEMINGWAY,2030,1784,36.4,5699,5581
FEARS,2030,1784,45.1,6881,4503
MAYERS,2029,1786,36.3,5688,5592
KENNEY,2026,1787,7.5,1184,27189
DEBOSE,2026,1787,81.5,11583,2487
STORY,2024,1789,10.7,1735,18935
CORMIER,2024,1789,12.3,2012,16513
TRUITT,2024,1789,21.9,3526,9257
